label,corpus name,sound type,num channels,sampling rate [kHz],compression,SNR [dB],RT60 [ms],Duration [h],language,license,project page link,download link,,
200drum-machines,200DrumMachines,music,1,44.1,unknown,N/A,N/A,1.2,N/A,unknown,https://www.hexawe.net/mess/200.Drum.Machines/,https://www.hexawe.net/mess/200.Drum.Machines/,,
3d-marco-v.1.0.1,3D Microphone Array Recording Comparison (3D-MARCo),"audio, music, speech",3+,48+,no,N/A,N/A?,0.18,N/A,CC BY-NC 3.0,https://zenodo.org/records/3477602,https://zenodo.org/records/3477602,,
6dof-seld,6DoF SELD: SELD dataset for detecting and localizing sound events from the view of self-motion humans,audio,3+,48+,,"6, 10, 20","120, 300, 410",20.1,N/A,licensed by NTT,https://zenodo.org/records/10473531,https://zenodo.org/records/10473531,,
ace-challenge,ACE CHALLENGE for evaluating state-of-the-art algorithms for blind acoustic parameter estimation from speech,speech,3+,"48+, 16",no,"0, 10, 20 (dev),
-1, 12, 18 (eval)","340, 370, 390, 440, 640, 650, 1250","120 (dev),
eval 4500 utterances for each mic
(時間単位での長さは記載なし)",eng,CC BY-ND 4.0,http://www.ee.ic.ac.uk/naylor/ACEweb/index.html,,,
ace-kising,ACE-KiSing: using singing voice synthesizer for data augmentation,speech,1,48+,no,w/o,w/o,32.5,"eng, cmn",CC BY-NC 4.0,https://huggingface.co/datasets/espnet/ace-kising-segments,https://huggingface.co/datasets/espnet/ace-kising-segments,,
ace-opencpop,ACE-Opencpop: using singing voice synthesizer for data augmentation,speech,1,48+,no,w/o,w/o,129,cmn,CC BY-NC 4.0,https://huggingface.co/datasets/espnet/ace-opencpop-segments,https://huggingface.co/datasets/espnet/ace-opencpop-segments,,
adc2004,ADC2004: Polyphonic Melody Extraction,music,1,44.1,no,w/o,w/o,0.1,N/A,none,http://labrosa.ee.columbia.edu/projects/melody/,http://labrosa.ee.columbia.edu/projects/melody/,,
add2022,ADD: Audio Deep Synthesis Detection Challenge 2022 dataset,speech,1,16,no,w/o,w/o,1000,cmn,CC BY-NC-ND 4.0,http://addchallenge.cn/databases2023,https://zenodo.org/records/12188127,,
add2023,ADD: Audio Deep Synthesis Detection Challenge 2023 dataset,speech,1,16,no,w/o,w/o,740,cmn,CC BY-NC-ND 4.0,http://addchallenge.cn/databases2023,http://addchallenge.cn/downloadADD2023,,
adept,ADEPT: A Dataset for Evaluating Prosody Transfer,speech,1,44.1,no,w/o,w/o,0.2,eng,CC BY 4.0,https://zenodo.org/records/5117102,https://zenodo.org/records/5117102,,
aed,Acoustic Event Dataset: containing 28 class acoustic event sound,audio,1,16,no,N/A,N/A,12.8,eng,various,https://data.vision.ee.ethz.ch/cvl/ae_dataset/,https://data.vision.ee.ethz.ch/cvl/ae_dataset/,,
aishell-1,"Aishell: an open-source Chinese Mandarin speech corpus published by Beijing Shell Shell Technology Co.,Ltd.",speech,1,16,no,w/o,w/o,170,cmn,Apache License v2.0,https://www.openslr.org/33/,https://www.openslr.org/33/,,
aishell-3,"Aishell-3: a large-scale and high-fidelity multi-speaker Mandarin speech corpus published by Beijing Shell Shell Technology Co.,Ltd.",speech,1,44.1,no,w/o,w/o,85,cmn,Apache License v2.0,https://www.openslr.org/93/,https://www.openslr.org/93/,,
