label,corpus name,subset,type,num channels,num arrays,num source positions,num ris,sampling rate [kHz],compression,RT60 [ms],nbits,room size [m],noise,license,project page link,download link
aachen-ir,Aachen Impulse Response Database,n/a,both,2,1,unknown,344,48+,no,with,24,11rooms,unkonwn,MIT,https://www.iks.rwth-aachen.de/en/research/tools-downloads/databases/aachen-impulse-response-database/,https://www.iks.rwth-aachen.de/fileadmin/user_upload/downloads/forschung/tools-downloads/air_database_release_1_4.zip
anri,Dataset of impulse responses from variable acoustics room Anri at Aalto Acoustic Labs,n/a,rir,5,1,1,1 (auto),44.1,unknown,<1500,unknown,8.9 x 6.3 x 3.6,no,CC BY 4.0,https://pubs.aip.org/asa/jasa/article/152/2/1158/2838408/Calibrating-the-Sabine-and-Eyring-formulas,https://zenodo.org/records/6985104#.YwffZuzMIeY
brudex,BRUDEX Database,n/a,both,6+12,1,12,1500,48+,no,"310, 510, 1300",unknown,7 x 6 x 2.7,yes,MIT,https://uol.de/f/6/dept/mediphysik/ag/sigproc/download/papers/SP2023_14.pdf?v=1696174636,https://zenodo.org/records/7986447
but-reverb,BUT Speech@FIT Reverb Database,n/a,rir,31 in total,depends,3,#VALUE!,48+,unknown,780,unknown,10.7 x 6.9 x 2.6,yes,CC BY 4.0,https://speech.fit.vut.cz/software/but-speech-fit-reverb-database,http://merlin.fit.vutbr.cz/ReverbDB/BUT_ReverbDB_rel_19_06_RIR-Only.tgz
c4dm-1,Room Impulse Response Data Set (C4DM),great-hall,rir,1+4,169,1,169 (auto),48+,unknown,unknown,32,16 x 23 x 18,no,CC BY-NC-SA 4.0,http://isophonics.net/content/room-impulse-response-data-set,http://isophonics.net/content/room-impulse-response-data-set
c4dm-2,Room Impulse Response Data Set (C4DM),octagon,rir,1+4,169,1,169 (auto),48+,unknown,unknown,32,23 x 23 x 21,no,CC BY-NC-SA 4.0,http://isophonics.net/content/room-impulse-response-data-set,http://isophonics.net/content/room-impulse-response-data-set
c4dm-3,Room Impulse Response Data Set (C4DM),classroom,rir,1+4,130,1,130 (auto),48+,unknown,unknown,32,7.5 x 9 x 3.5,no,CC BY-NC-SA 4.0,http://isophonics.net/content/room-impulse-response-data-set,http://isophonics.net/content/room-impulse-response-data-set
clarity-21,The First Clarity Enhancement Challenge CEC1,n/a,rir,,,,0 (auto),44.1,no,,,"area mean: 17.7 m^2, height mean: 2.7 m",yes,,https://claritychallenge.org/docs/cec1/cec1_intro,https://claritychallenge.org/docs/cec1/cec1_download
clarity-cec2,The 2nd Clarity Enhancement Challenge,n/a,rir,,,,0 (auto),44.1,no,,,,yes,,https://claritychallenge.org/docs/cec2/cec2_intro,https://claritychallenge.org/docs/cec2/cec2_download
clarity-cec3,The 3rd Clarity Enhancement Challenge,n/a,rir,,,,0 (auto),44.1,no,,,,yes,,https://claritychallenge.org/docs/cec3/cec3_intro,https://claritychallenge.org/docs/cec3/cec3_download
clarity-cpc1,The 1st Clarity Prediction Challenge,n/a,rir,,,,0 (auto),44.1,no,,,"area mean: 17.7 m^2, height mean: 2.7 m",yes,,https://claritychallenge.org/docs/cpc1/cpc1_intro,https://claritychallenge.org/docs/cpc1/cpc1_download
clarity-icassp2023,The ICASSP 2023 Clarity Challenge,n/a,rir,,,,0 (auto),44.1,no,,,"area mean: 17.7 m^2, height mean: 2.7 m",yes,,https://claritychallenge.org/docs/icassp2023/icassp2023_intro,https://claritychallenge.org/docs/icassp2023/icassp2023_download
dechorate,dEchorate,n/a,rir,5,6,6,36 (auto),48+,unknown,100-800,32,6 x 6 x 2.4,no,CC BY 4.0,https://hal.science/hal-03207860/,https://drive.google.com/drive/folders/1yGTh_BjnVNwDgBsn5mkuW3i4rJIgZwlS
gtu-rir,GTU-RIR,n/a,rir,6,`,4,#VALUE!,44.1,unknown,600-1900,unknown,11 rooms,no,GPL-3.0,https://www.sciencedirect.com/science/article/pii/S1051200424003105#se0030,https://github.com/mehmetpekmezci/gtu-rir
ir-br-tf,Database of multichannel in-ear and behind-the-ear head-related and binaural room impulse responses,n/a,both,2+6,1,365 in total,,48+,unknown,"0, 300, 900, 1250",32,1 + 4rooms,yes,research or education only,https://medi.uni-oldenburg.de/hrir/,https://medi.uni-oldenburg.de/hrir/html/download.html
mdmad,Massive Distributed Microphone Array Dataset,n/a,rir,160,depends,10,#VALUE!,48,no,800,24,13 x 9,yes,CC BY 4.0,https://databank.illinois.edu/datasets/IDB-6216881,https://databank.illinois.edu/datafiles/72irw/download
meshrir-1,MeshRIR,S1-M3969,rir,1,3969,1,3969 (auto),48+,unknown,380,unknown,7.0 x 6.4 x 2.7,no,CC BY 4.0,https://www.sh01.org/MeshRIR/,https://zenodo.org/records/10852693
meshrir-2,MeshRIR,S32-M441,rir,1,441,32,14112 (auto),48+,unknown,190,unknown,7.0 x 6.4 x 2.7,no,CC BY 4.0,https://www.sh01.org/MeshRIR/,https://zenodo.org/records/10852693
miracle,Microphone Array Impluse Response Dataset for Acoustic Learning,n/a,rir,64,1,4096,856128,32,unknown,0,unknown,830 m^3,no,CC BY-NC-SA 4.0,https://depositonce.tu-berlin.de/items/b079fd1c-999f-42cb-afd2-bcd34de6180b,https://depositonce.tu-berlin.de/items/b079fd1c-999f-42cb-afd2-bcd34de6180b
mirage,MIRaGe,n/a,rir,5,6,4129,74322?,48+,no,100300600,24,6 x 6 x 2.4,yes,unkown,https://asap.ite.tul.cz/downloads/mirage/,https://drive.google.com/drive/folders/18WukJlw42qNFkTnvydPJPuayEau8NtUx?usp=sharing
mird,Multichannel Impulse Response Database,n/a,rir,8,3,26,78 (auto),48+,unknown,"160, 360, 610",24,6 x 6 x 2.4,no,ODC-By,https://sharongannot.group/resources/downloads/,https://drive.google.com/drive/folders/1dbm35gjQjG3wAiFiLWAvaguoIx21LIAd
mit-arsss,MIT Acoustical Reverberation Scene Statistics Survey,n/a,rir,1,1,1,1 (auto),32,unknown,with,unknown,real world,no,unknown,https://mcdermottlab.mit.edu/Reverb/ReverbSummary.html,https://mcdermottlab.mit.edu/Reverb/IRMAudio/Audio.zip
motus,Motus,n/a,rir,32,1,4,4 (auto),48+,no,500-2000,unknown,4.9 x 4.4 x 2.9,no,CC BY 4.0,https://ieeexplore.ieee.org/document/9610933,https://zenodo.org/records/4923187
openair-1,Openair,1st Baptist Church Nashville,rir,2,3,1,3 (auto),48+,unknown,with,24,14.58 x 24.63 x 15.24,no,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=2,https://webfiles.york.ac.uk/OPENAIR/IRs/1st-baptist-nashville/1st-baptist-nashville.zip
openair-10,Openair,Exploring the acoustics of the UK House of Commons Chamber (Auralizations Results Only),rir,1,2,1,2 (auto),48+,unknown,with,unknown,"21 x 16 x 14.7, 18.55 x 8.4 x 7.63",no,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=11,https://webfiles.york.ac.uk/OPENAIR/IRs/house-of-commons-auralizations/auralizations/Auralization%20Results-20220429T115329Z-001/Auralization%20Results/
openair-11,Openair,Falkland Palace Bottle Dungeon,air,4,1,1,1 (auto),48+,unknown,with,32,chamber,no,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=12,https://webfiles.york.ac.uk/OPENAIR/IRs/falkland-palace-bottle-dungeon/falkland-palace-bottle-dungeon.zip
openair-12,Openair,Falkland Palace Royal Tennis Court,rir,1+2+4+5.1,1,1,1 (auto),48+,unknown,with,24,2300 m^3,no,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=13,https://webfiles.york.ac.uk/OPENAIR/IRs/falkland-palace-royal-tennis-court/falkland-palace-royal-tennis-court.zip
openair-13,Openair,Forest Scale Model,rir,1,2,4,8 (auto),48+,unknown,with,24,other,no,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=14,https://webfiles.york.ac.uk/OPENAIR/IRs/forest-scale-model/ForestScaleModel.zip
openair-14,Openair,Genesis 6 Studio – Live Room Drum Set Up,rir,4,1,8,8 (auto),48+,unknown,with,24,2.6 x 4.2 x 3.4,no,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=15,https://webfiles.york.ac.uk/OPENAIR/IRs/genesis-6-studio-live-room-drum-set/genesis-6-studio-live-room-drum-set.zip
openair-15,Openair,Gill Heads Mine,air,1+4,1,4,4 (auto),48+,unknown,with,24,open air,no,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=16,https://webfiles.york.ac.uk/OPENAIR/IRs/gill-heads-mine/gill-heads-mine.zip
openair-16,Openair,Hamilton Mausoleum,rir,2+4+5.1,1,1,1 (auto),48+,unknown,with,24,9000 m^3,no,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=17,https://webfiles.york.ac.uk/OPENAIR/IRs/hamilton-mausoleum/hamilton-mausoleum.zip
openair-17,Openair,Heslington Church,rir,4,7,1,7 (auto),48+,unknown,with,24,2000 m^3,no,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=18,https://webfiles.york.ac.uk/OPENAIR/IRs/heslington-church-vaa-group-2/heslington-church-vaa-group-2.zip
openair-18,Openair,"Hoffmann Lime Kiln (Langcliffe, UK)",rir,4,3,2,6 (auto),48+,unknown,with,16,chamber,no,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=19,https://webfiles.york.ac.uk/OPENAIR/IRs/hoffmann-lime-kiln-langcliffeuk/hoffmann-lime-kiln-langcliffeuk.zip
openair-19,Openair,Innocent Railway Tunnel,air,1+4,7,2,14 (auto),48+,unknown,with,24,ohter,no,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=20,https://webfiles.york.ac.uk/OPENAIR/IRs/innocent-railway-tunnel/innocent-railway-tunnel.zip
openair-2,Openair,"Abies Grandis Forest, Wheldrake Wood",air,1+2+4,1,1,1 (auto),48+,unknown,with,24,open air,no,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=3,https://webfiles.york.ac.uk/OPENAIR/IRs/wheldrake-wood/Forest-in-WheldrakeWood.zip
openair-20,Openair,Koli National Park - Summer,air,1+4,2,4,8 (auto),48+,unknown,with,24,open air,no,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=21,https://webfiles.york.ac.uk/OPENAIR/IRs/koli-national-park-summer/koli-national-park-summer.zip
openair-21,Openair,Koli National Park – Winter,air,1+4,2,4,8 (auto),48+,unknown,with,24,open air,no,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=22,https://webfiles.york.ac.uk/OPENAIR/IRs/koli-national-park-winter/koli-national-park-winter.zip
openair-22,Openair,"Lady Chapel, St Albans Cathedral",rir,1+2+2+4+5.1,1,2,2 (auto),44.1,unknown,with,24,cathedral,no,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=23,https://webfiles.york.ac.uk/OPENAIR/IRs/lady-chapel-st-albans-cathedral/Read%20Me.txt
openair-23,Openair,Maes Howe,rir,2+4,1,1,1 (auto),48+,unknown,with,24,chamber,no,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=24,https://webfiles.york.ac.uk/OPENAIR/IRs/maes-howe/maes-howe.zip
openair-24,Openair,Newgrange,air,4,7,2,14 (auto),48+,unknown,with,16,chamber,no,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=25,https://webfiles.york.ac.uk/OPENAIR/IRs/newgrange/Newgrange_IRs_rotated.zip
